filename,width,height,class,xmin,ymin,xmax,ymax
d80600be-68_png.rf.7f1c1f2a4ed92a4a5ec3cfb2efd7bef2.jpg,640,640,shrub,128,422,277,574
d80600be-68_png.rf.7f1c1f2a4ed92a4a5ec3cfb2efd7bef2.jpg,640,640,shrub,117,110,355,308
d80600be-68_png.rf.7f1c1f2a4ed92a4a5ec3cfb2efd7bef2.jpg,640,640,shrub,446,86,622,255
d80600be-68_png.rf.7f1c1f2a4ed92a4a5ec3cfb2efd7bef2.jpg,640,640,shrub,0,397,111,550
70e92e4a-37_png.rf.675a2b65df36c31085cfb7c521ed1031.jpg,640,640,shrub,209,256,436,528
70e92e4a-37_png.rf.675a2b65df36c31085cfb7c521ed1031.jpg,640,640,shrub,438,0,640,198
70e92e4a-37_png.rf.675a2b65df36c31085cfb7c521ed1031.jpg,640,640,shrub,0,0,146,629
1c5b5003-142_png.rf.6af51a89445677d4106a9d4c3dda31d2.jpg,640,640,shrub,108,155,534,549
1c5b5003-142_png.rf.6af51a89445677d4106a9d4c3dda31d2.jpg,640,640,shrub,492,368,626,525
1c5b5003-142_png.rf.6af51a89445677d4106a9d4c3dda31d2.jpg,640,640,shrub,7,258,93,406
e74f9383-191_png.rf.d4d76f6c396f24aef615818cea8b0cb9.jpg,640,640,shrub,132,208,474,490
e74f9383-191_png.rf.d4d76f6c396f24aef615818cea8b0cb9.jpg,640,640,shrub,480,6,640,350
27dd4ce7-26_png.rf.d1ffc228a6f3843c9ee18698b1cf77ea.jpg,640,640,shrub,206,202,499,459
27dd4ce7-26_png.rf.d1ffc228a6f3843c9ee18698b1cf77ea.jpg,640,640,shrub,376,480,460,559
27dd4ce7-26_png.rf.d1ffc228a6f3843c9ee18698b1cf77ea.jpg,640,640,shrub,471,296,640,544
a2b6449b-169_png.rf.f479c86870f17f3bbdbd662dc9766321.jpg,640,640,shrub,285,194,640,426
a2b6449b-169_png.rf.f479c86870f17f3bbdbd662dc9766321.jpg,640,640,shrub,555,374,640,482
fb25423f-147_png.rf.e0898bc9d21c7d0f27ff8670f8a2f03e.jpg,640,640,shrub,29,218,483,463
fb25423f-147_png.rf.e0898bc9d21c7d0f27ff8670f8a2f03e.jpg,640,640,shrub,0,411,315,640
fb25423f-147_png.rf.e0898bc9d21c7d0f27ff8670f8a2f03e.jpg,640,640,shrub,301,539,599,640
c8d491af-25_png.rf.5b195865a7534210f574127d4a6dc6be.jpg,640,640,shrub,243,254,411,386
c8d491af-25_png.rf.5b195865a7534210f574127d4a6dc6be.jpg,640,640,shrub,421,595,506,640
c8d491af-25_png.rf.5b195865a7534210f574127d4a6dc6be.jpg,640,640,shrub,14,365,91,448
